,Building,Class,Actual_Enrl,Latitude,Longitude,Days,Day_start_M,Day_end_M,Day_start_T,Day_end_T,Day_start_W,Day_end_W,Day_start_R,Day_end_R,Day_start_F,Day_end_F,Day_start_S,Day_end_S,Day_start_U,Day_end_U
556,CH,CS 510,24,680507.418369,7642314.424760001,W,na,na,na,na,2016-09-28 17:30:00,2016-09-28 21:10:00,na,na,na,na,na,na,na,na
559,CH,MGMT 428,25,680507.418369,7642314.424760001,MWF,2016-09-26 09:00:00,2016-09-26 10:05:00,na,na,2016-09-28 09:00:00,2016-09-28 10:05:00,na,na,2016-09-30 09:00:00,2016-09-30 10:05:00,na,na,na,na
560,CH,PHL 316U,30,680507.418369,7642314.424760001,MWF,2016-09-26 10:15:00,2016-09-26 11:20:00,na,na,2016-09-28 10:15:00,2016-09-28 11:20:00,na,na,2016-09-30 10:15:00,2016-09-30 11:20:00,na,na,na,na
561,CH,BA 385,41,680507.418369,7642314.424760001,MWF,2016-09-26 11:30:00,2016-09-26 12:35:00,na,na,2016-09-28 11:30:00,2016-09-28 12:35:00,na,na,2016-09-30 11:30:00,2016-09-30 12:35:00,na,na,na,na
562,CH,MTH 261,38,680507.418369,7642314.424760001,MWF,2016-09-26 12:45:00,2016-09-26 13:50:00,na,na,2016-09-28 12:45:00,2016-09-28 13:50:00,na,na,2016-09-30 12:45:00,2016-09-30 13:50:00,na,na,na,na
563,CH,SPHR 471,32,680507.418369,7642314.424760001,MW,2016-09-26 14:00:00,2016-09-26 15:50:00,na,na,2016-09-28 14:00:00,2016-09-28 15:50:00,na,na,na,na,na,na,na,na
564,CH,SPHR 571,1,680507.418369,7642314.424760001,MW,2016-09-26 14:00:00,2016-09-26 15:50:00,na,na,2016-09-28 14:00:00,2016-09-28 15:50:00,na,na,na,na,na,na,na,na
565,CH,MTH 095,39,680507.418369,7642314.424760001,MW,2016-09-26 16:40:00,2016-09-26 18:30:00,na,na,2016-09-28 16:40:00,2016-09-28 18:30:00,na,na,na,na,na,na,na,na
566,CH,BA 385,44,680507.418369,7642314.424760001,TR,na,na,2016-09-27 10:00:00,2016-09-27 11:50:00,na,na,2016-09-29 10:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
567,CH,CE 423,20,680507.418369,7642314.424760001,TR,na,na,2016-09-27 12:00:00,2016-09-27 13:50:00,na,na,2016-09-29 12:00:00,2016-09-29 13:50:00,na,na,na,na,na,na
